,rooms,type,meters,district,price,price_per_meter,terms_of_transaction,mortgage,floor 1,floor 2,living_area,window_view,repair ,type_of_house,year_at_home,parking,address,hospital_info,eat_info,school_info,average_time,toilet,balcony,elevators,service lift
206,3,квартира,70.2,р-н Красногвардейский,7200000.0,102564.0,свободная продажа,,5.0,5.0,40.8,,Косметический,Панельный,1992.0,,"Санкт-Петербург, Рябовское ш., 123К2",0,2,0,14.666666666666666,1.0,1.0,0,0
207,1,квартира,35.1,р-н Красносельский,7199000.0,205100.0,свободная продажа,возможна,8.0,12.0,17.5,На улицу,Евроремонт,Монолитный,2019.0,,"Санкт-Петербург, ул. Летчика Лихолетова, 14к4",5,27,0,15.333333333333334,1.0,1.0,1,1
208,1,квартира,32.2,р-н Выборгский,7249000.0,225124.0,свободная продажа,возможна,13.0,15.0,18.0,Во двор,Евроремонт,Панельный,1977.0,Наземная,"Санкт-Петербург, ул. Руднева, 5К2",35,112,0,6.666666666666667,1.0,1.0,2,0
209,2,квартира,37.0,р-н Фрунзенский,7299000.0,197270.0,свободная продажа,возможна,4.0,5.0,22.6,На улицу и двор,Евроремонт,Панельный,1965.0,,"Санкт-Петербург, Будапештская ул., 40к1",27,103,7,11.666666666666666,1.0,1.0,0,0
210,1,квартира,39.0,р-н Красногвардейский,7400000.0,189744.0,свободная продажа,,4.0,17.0,20.0,На улицу,Косметический,Панельный,2006.0,,"Санкт-Петербург, просп. Энтузиастов, 31к3",17,99,5,6.333333333333333,1.0,1.0,0,0
211,1,квартира,40.3,р-н Невский,7400000.0,183623.0,свободная продажа,,1.0,7.0,21.1,Во двор,Косметический,Кирпичный,,Наземная,"Санкт-Петербург, ул. Седова, 94Т",20,106,1,6.0,1.0,0.0,1,0
212,2,квартира,48.8,р-н Кронштадтский,7390000.0,151434.0,свободная продажа,возможна,1.0,12.0,27.6,На улицу,Косметический,Кирпичный,1990.0,,"Санкт-Петербург, ул. Станюковича, 1/9",1,16,0,30.0,1.0,0.0,2,0
213,2,квартира,50.5,р-н Красногвардейский,7350000.0,145545.0,альтернатива,возможна,10.0,12.0,28.8,На улицу,Косметический,Панельный,1983.0,,"Санкт-Петербург, Ленская ул., 3к2Б",18,106,10,6.666666666666667,1.0,1.0,2,0
214,2,квартира,45.0,р-н Фрунзенский,7400000.0,164444.0,свободная продажа,возможна,3.0,5.0,30.0,Во двор,Косметический,Панельный,1966.0,,"Санкт-Петербург, ул. Турку, 22К3",16,86,1,15.333333333333334,0.0,1.0,0,0
215,1,квартира,39.1,р-н Приморский,7490000.0,191560.0,свободная продажа,возможна,6.0,12.0,20.0,Во двор,Косметический,Панельный,1991.0,Наземная,"Санкт-Петербург, Школьная ул., 120к1",27,101,3,8.333333333333334,1.0,1.0,1,1
216,1,квартира,37.7,р-н Приморский,7450000.0,197613.0,свободная продажа,возможна,14.0,24.0,18.0,На улицу,Евроремонт,,2023.0,,"Санкт-Петербург, аллея Арцеуловская, 15",6,27,2,13.333333333333334,1.0,1.0,1,0
217,2,квартира,57.4,р-н Колпинский,7490000.0,130488.0,свободная продажа,возможна,5.0,9.0,33.0,,Дизайнерский,,1993.0,Наземная,"Санкт-Петербург, ул. Красных Партизан, 5",4,7,0,24.5,1.0,1.0,1,0
218,1,квартира,45.1,р-н Кировский,7500000.0,166297.0,свободная продажа,,3.0,9.0,25.5,,Евроремонт,Монолитный,1972.0,,"Санкт-Петербург, ул. Стойкости, 30К1",5,31,0,9.666666666666666,1.0,1.0,1,0
219,1,квартира,37.8,р-н Калининский,7500000.0,198413.0,альтернатива,,1.0,14.0,18.0,,Косметический,Панельный,2013.0,,"Санкт-Петербург, Сибирская ул., 9",10,55,3,8.333333333333334,1.0,0.0,0,0
220,3,квартира,61.7,р-н Красносельский,7500000.0,121556.0,свободная продажа,,3.0,5.0,45.9,Во двор,Косметический,Кирпичный,1978.0,,"Санкт-Петербург, ул. Юных пионеров, 18к2",9,33,0,25.333333333333332,1.0,1.0,0,0
221,1,квартира,37.0,р-н Красносельский,7550000.0,204054.0,свободная продажа,возможна,5.0,13.0,17.0,На улицу и двор,Евроремонт,Монолитный,2020.0,,"Санкт-Петербург, ул. Генерала Кравченко, 8",5,27,0,14.666666666666666,1.0,1.0,1,0
222,1,квартира,33.4,р-н Московский,7500000.0,224551.0,альтернатива,возможна,11.0,18.0,16.3,На улицу,Евроремонт,Монолитный,2020.0,,"Санкт-Петербург, ул. Среднерогатская, 16к2",20,114,2,7.333333333333333,1.0,1.0,1,1
223,1,квартира,37.9,р-н Московский,8280000.0,218470.0,свободная продажа,возможна,7.0,9.0,25.3,Во двор,Косметический,Монолитный,2019.0,Подземная,"Санкт-Петербург, Дунайский просп., 7к7",26,108,2,12.0,1.0,1.0,1,1
224,2,квартира,44.4,р-н Центральный,8290000.0,186712.0,свободная продажа,возможна,2.0,5.0,23.9,Во двор,Косметический,Кирпичный,1914.0,,"Санкт-Петербург, наб. Обводного Канала, 51В",86,539,43,8.666666666666666,1.0,0.0,0,0
225,2,квартира,47.5,р-н Калининский,8250000.0,173684.0,свободная продажа,возможна,5.0,5.0,27.2,Во двор,Без ремонта,Кирпичный,1952.0,Наземная,"Санкт-Петербург, Лабораторная ул., 6",14,78,3,5.0,2.0,0.0,0,0
226,3,квартира,54.0,р-н Выборгский,8250000.0,152778.0,альтернатива,,5.0,5.0,34.0,Во двор,,Кирпичный,1960.0,,"Санкт-Петербург, просп. Энгельса, 94К2",43,99,10,0.0,1.0,1.0,0,0
227,1,квартира,35.0,р-н Приморский,8300000.0,237143.0,свободная продажа,возможна,5.0,12.0,17.2,На улицу и двор,Дизайнерский,,2023.0,,"Санкт-Петербург, просп. Авиаконструкторов, 61",11,49,7,11.333333333333334,1.0,1.0,2,0
228,1,квартира,37.7,р-н Приморский,8300000.0,220159.0,свободная продажа,возможна,2.0,17.0,18.6,Во двор,Евроремонт,Панельный,2007.0,Наземная,"Санкт-Петербург, Богатырский просп., 58к1",21,79,3,7.333333333333333,1.0,1.0,1,1
229,2,квартира,49.4,р-н Московский,8300000.0,168016.0,свободная продажа,возможна,3.0,5.0,34.8,На улицу и двор,Косметический,Панельный,1965.0,,"Санкт-Петербург, просп. Юрия Гагарина, 38К1",40,186,16,13.0,1.0,1.0,0,0
230,1,квартира,35.2,р-н Выборгский,8300000.0,235795.0,свободная продажа,возможна,21.0,21.0,15.3,Во двор,Косметический,,2011.0,,"Санкт-Петербург, ул. Композиторов, 12Б",30,128,6,9.333333333333334,1.0,1.0,2,1
231,1,квартира,42.0,р-н Приморский,8350000.0,198810.0,свободная продажа,,10.0,10.0,16.6,На улицу,,,2009.0,,"Санкт-Петербург, ул. Оптиков, 52к1",27,84,2,11.333333333333334,1.0,1.0,0,0
232,3,квартира,65.4,р-н Калининский,8300000.0,126911.0,свободная продажа,возможна,9.0,9.0,48.0,Во двор,Без ремонта,Панельный,1972.0,,"Санкт-Петербург, просп. Луначарского, 80К2",30,92,2,7.0,0.0,1.0,1,0
233,1,квартира,38.0,р-н Выборгский,8380000.0,220526.0,свободная продажа,возможна,13.0,16.0,19.3,На улицу,Дизайнерский,Кирпичный,1983.0,,"Санкт-Петербург, ул. Ивана Фомина, 3",47,194,3,14.0,1.0,1.0,2,0
234,1,квартира,36.8,р-н Приморский,8350000.0,226902.0,свободная продажа,возможна,4.0,12.0,12.9,На улицу,Без ремонта,Кирпичный,2022.0,Подземная,"Санкт-Петербург, просп. Авиаконструкторов, 54",8,38,5,12.333333333333334,2.0,1.0,2,0
235,2,квартира,53.6,р-н Выборгский,8400000.0,156716.0,свободная продажа,возможна,3.0,9.0,35.2,Во двор,Без ремонта,,1980.0,Наземная,"Санкт-Петербург, просп. Просвещения, 7К2",36,158,4,8.333333333333334,1.0,1.0,1,0
236,2,квартира,63.4,р-н Приморский,8493690.0,133970.0,свободная продажа,,2.0,5.0,33.5,,Без ремонта,Блочный,2014.0,,"Санкт-Петербург, просп. Юнтоловский, 49К7",3,2,0,0.0,0.0,1.0,0,0
237,3,квартира,58.1,р-н Калининский,8400000.0,144578.0,свободная продажа,возможна,9.0,9.0,42.0,На улицу и двор,Косметический,Панельный,1974.0,Наземная,"Санкт-Петербург, просп. Луначарского, 82К1",28,87,2,6.0,1.0,2.0,1,0
238,2,квартира,50.0,р-н Невский,8499000.0,169980.0,альтернатива,возможна,3.0,9.0,30.9,Во двор,Евроремонт,Панельный,1969.0,,"Санкт-Петербург, ул. Дыбенко, 18К1",26,142,12,7.333333333333333,1.0,1.0,1,0
239,1,квартира,35.92,р-н Невский,8400000.0,233853.0,свободная продажа,,20.0,22.0,10.0,,Евроремонт,,2018.0,,"Санкт-Петербург, ул. Дыбенко, 4к2",26,131,14,6.333333333333333,0.0,1.0,4,3
240,3,квартира,57.4,р-н Красногвардейский,8400000.0,146341.0,свободная продажа,,5.0,9.0,42.0,На улицу и двор,Косметический,Панельный,1980.0,,"Санкт-Петербург, ул. Передовиков, 33К2",18,87,3,0.0,1.0,2.0,1,0
241,3,квартира,55.6,р-н Московский,8400000.0,151079.0,свободная продажа,возможна,1.0,5.0,41.2,,Без ремонта,Панельный,1962.0,Наземная,"Санкт-Петербург, Ленинский просп., 166",32,173,27,6.666666666666667,0.0,0.0,0,0
242,1,квартира,40.8,р-н Приморский,8500000.0,208333.0,свободная продажа,возможна,9.0,17.0,14.0,Во двор,Косметический,,2012.0,,"Санкт-Петербург, Мебельная ул., 25к1",29,105,4,8.666666666666666,1.0,1.0,1,1
243,1,квартира,38.5,р-н Калининский,8500000.0,220779.0,свободная продажа,возможна,8.0,16.0,17.3,Во двор,Косметический,Блочный,2017.0,,"Санкт-Петербург, просп. Маршала Блюхера, 9к1",26,111,4,5.333333333333333,1.0,1.0,1,1
244,2,квартира,59.0,р-н Колпинский,8500000.0,144068.0,свободная продажа,возможна,6.0,10.0,,,Евроремонт,,2017.0,,"Санкт-Петербург, Загородная ул., 43к5",1,1,0,0.0,1.0,1.0,1,0
245,2,квартира,50.5,р-н Красногвардейский,8500000.0,168317.0,свободная продажа,возможна,2.0,9.0,,,,Блочный,1968.0,Наземная,"Санкт-Петербург, просп. Энергетиков, 68",9,56,2,8.666666666666666,0.0,0.0,1,0
246,1,квартира,35.48,р-н Василеостровский,8580000.0,241826.0,переуступка,возможна,4.0,13.0,14.3,,,Монолитно-кирпичный,,,"Санкт-Петербург, Гавань, Аквилон Залив жилой комплекс",0,0,0,14.0,0.0,1.0,0,0
247,1,квартира,39.4,р-н Московский,8550000.0,217005.0,альтернатива,возможна,11.0,17.0,20.0,Во двор,Евроремонт,Блочный,1995.0,Наземная,"Санкт-Петербург, Звездная ул., 5К1",31,132,4,9.0,1.0,1.0,1,1
248,1,квартира,40.0,р-н Невский,9000000.0,225000.0,свободная продажа,возможна,12.0,13.0,20.2,Во двор,Косметический,Панельный,1993.0,,"Санкт-Петербург, просп. Пятилеток, 4к1",18,153,9,5.333333333333333,1.0,1.0,1,0
249,1,квартира,31.23,р-н Московский,9000000.0,288184.0,переуступка,возможна,7.0,12.0,14.1,,,Монолитно-кирпичный,,,"Санкт-Петербург, Новоизмайловское, Предпортовая территория",0,0,0,27.0,0.0,1.0,0,0
250,3,квартира,60.0,р-н Приморский,9000000.0,150000.0,альтернатива,возможна,4.0,10.0,42.7,Во двор,Косметический,,1977.0,,"Санкт-Петербург, Парашютная ул., 12",43,181,3,10.333333333333334,1.0,1.0,1,1
251,2,квартира,45.9,р-н Выборгский,9100000.0,198257.0,свободная продажа,возможна,4.0,9.0,29.4,,Евроремонт,Панельный,1976.0,,"Санкт-Петербург, просп. Луначарского, 62К2",51,176,2,10.333333333333334,1.0,0.0,1,0
252,1,квартира,41.53,р-н Василеостровский,9150000.0,220323.0,переуступка,возможна,7.0,13.0,14.4,На улицу,,Монолитный,,,"Санкт-Петербург, Гавань, бул. Головнина",9,59,7,6.0,1.0,1.0,2,0
253,2,квартира,49.0,р-н Курортный,9200000.0,187755.0,свободная продажа,,7.0,9.0,,Во двор,Косметический,Кирпичный,1996.0,,"Санкт-Петербург, ул. Токарева, 8",0,2,0,28.0,1.0,1.0,0,0
254,1,квартира,40.1,р-н Невский,9200000.0,229426.0,свободная продажа,возможна,9.0,10.0,17.0,На улицу,Без ремонта,Панельный,2001.0,Наземная,"Санкт-Петербург, Товарищеский просп., 10К1",25,119,8,9.333333333333334,1.0,1.0,1,0
255,1,квартира,41.6,р-н Приморский,9200000.0,221154.0,свободная продажа,возможна,5.0,16.0,22.0,На улицу,Евроремонт,,1988.0,Наземная,"Санкт-Петербург, просп. Королева, 29к1Б",47,149,7,7.333333333333333,1.0,1.0,2,0
256,3,квартира,61.0,р-н Красногвардейский,9270000.0,151967.0,свободная продажа,возможна,16.0,25.0,37.8,Во двор,Евроремонт,Панельный,2021.0,Наземная,"Санкт-Петербург, дор. Муринская, 12к2",27,125,5,13.0,1.0,1.0,1,1
257,1,квартира,34.83,р-н Калининский,9340000.0,268160.0,переуступка,возможна,8.0,14.0,13.2,,,Монолитно-кирпичный,,,"Санкт-Петербург, Полюстровский просп., 75",33,151,5,25.0,1.0,1.0,1,1
258,2,квартира,46.8,р-н Московский,9300000.0,198718.0,альтернатива,возможна,5.0,9.0,28.4,Во двор,Евроремонт,,1972.0,,"Санкт-Петербург, просп. Космонавтов, 32К2",32,157,17,6.666666666666667,1.0,1.0,1,0
259,2,квартира,59.1,р-н Невский,9400000.0,159052.0,свободная продажа,возможна,17.0,23.0,31.8,,Косметический,Монолитный,2015.0,,"Санкт-Петербург, ул. Русановская, 19к3",4,9,0,10.666666666666666,1.0,1.0,1,2
260,2,квартира,56.9,р-н Красносельский,9400000.0,165202.0,альтернатива,,12.0,15.0,35.3,На улицу,Косметический,Панельный,2010.0,Наземная,"Санкт-Петербург, ул. Маршала Захарова, 14к2",22,78,7,10.666666666666666,1.0,1.0,1,1
261,2,квартира,43.9,р-н Фрунзенский,9400000.0,214123.0,свободная продажа,возможна,2.0,9.0,27.1,На улицу и двор,Евроремонт,Панельный,1968.0,Наземная,"Санкт-Петербург, просп. Славы, 19К1",27,110,7,7.333333333333333,1.0,1.0,1,0
